,country,year,co2,co2_per_capita,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number),rate Deaths - Cause: All causes - Risk: Outdoor air pollution - OWID - Sex: Both - Age: All Ages (Number)
40,Asia,2000,9091.055,2.431,48.60953564,1847321,49.38938295
41,Asia,2001,9259.172,2.445,49.196309,1914088,50.52597009
42,Asia,2002,9779.534,2.55,49.78308236,1980923,51.64163055
43,Asia,2003,10716.11,2.76,50.36985572,2052730,52.86261741
44,Asia,2004,11681.501,2.972,50.95662908,2118183,53.89592045
45,Asia,2005,12522.219,3.149,51.54340244,2189795,55.06204899
46,Asia,2006,13363.127,3.321,52.01228287,2251745,55.96296258
47,Asia,2007,14080.908,3.46,52.48116331,2343093,57.56771355
48,Asia,2008,14811.211,3.598,52.95004374,2462476,59.81978993
49,Asia,2009,15412.299,3.703,53.41892417,2535778,60.91791279
50,Asia,2010,16530.951,3.928,53.8878046,2633128,62.56718122
51,Asia,2011,17746.632,4.172,54.52067386,2743692,64.49577375
52,Asia,2012,18456.3,4.293,50.09644907,2851278,66.31916818
53,Asia,2013,18714.335,4.308,50.86595329,2976717,68.52183598
54,Asia,2014,19018.802,4.334,48.7694851,3072012,70.00065995
55,Asia,2015,19135.91,4.317,48.64814787,3151685,71.10698298
56,Asia,2016,19218.166,4.294,46.50386205,3199177,71.48299862
57,Asia,2017,19653.513,4.35,46.90107292,3235892,71.62443644
90,Europe,1990,8015.589,11.112,18.56617065,599175,83.03109914
91,Europe,1991,7714.386,10.666,18.32971503,600724,83.02350164
92,Europe,1992,7078.818,9.765,18.09325942,605893,83.54947926
93,Europe,1993,6791.984,9.353,17.8568038,630226,86.75116541
94,Europe,1994,6433.785,8.849,17.62034819,641037,88.13122893
95,Europe,1995,6415.241,8.818,17.38389257,634060,87.11412425
96,Europe,1996,6464.354,8.885,17.2353679,612800,84.18811541
97,Europe,1997,6258.128,8.605,17.08684323,593786,81.61326886
98,Europe,1998,6232.187,8.576,16.93831855,576161,79.24634687
99,Europe,1999,6147.589,8.464,16.78979388,577386,79.46063554
100,Europe,2000,6149.034,8.468,16.64126921,568603,78.26566772
101,Europe,2001,6275.941,8.64,16.59678209,560690,77.15195891
102,Europe,2002,6241.656,8.586,16.55229498,562446,77.33433444
103,Europe,2003,6387.841,8.777,16.50780787,557305,76.53919398
104,Europe,2004,6419.131,8.807,16.46332076,540056,74.06522994
105,Europe,2005,6410.33,8.781,16.41883365,539311,73.84605598
106,Europe,2006,6509.434,8.902,16.43550968,522697,71.44624632
107,Europe,2007,6457.352,8.814,16.45218571,520819,71.0526167
108,Europe,2008,6384.572,8.696,16.46886174,525167,71.49988763
109,Europe,2009,5871.171,7.981,16.48553777,518397,70.43208978
110,Europe,2010,6098.535,8.273,16.5022138,515705,69.92344555
111,Europe,2011,6023.668,8.155,16.63120853,497830,67.36737506
112,Europe,2012,5972.232,8.07,15.31009149,482776,65.208047
113,Europe,2013,5815.575,7.845,14.79927953,463113,62.44039434
114,Europe,2014,5589.757,7.527,14.2500361,444848,59.8740485
115,Europe,2015,5594.384,7.521,14.47106656,441116,59.27206985
116,Europe,2016,5590.253,7.503,13.43167628,416684,55.89762143
117,Europe,2017,5620.307,7.532,13.46590686,399625,53.52621094
150,North America,1990,5984.512,14.126,9.554770848,110408,25.82536548
151,North America,1991,5932.717,13.827,9.528190668,109722,25.35964291
152,North America,1992,6057.23,13.941,9.501610488,109047,24.88954223
153,North America,1993,6163.883,14.009,9.475030308,111159,25.05543565
154,North America,1994,6288.26,14.111,9.448450128,111941,24.91350563
155,North America,1995,6350.638,14.068,9.421869948,112758,24.77309913
156,North America,1996,6576.288,14.376,9.418330473,111733,24.22547262
157,North America,1997,6695.065,14.44,9.414790998,111007,23.74716159
158,North America,1998,6765.938,14.398,9.411251522,111276,23.48889695
159,North America,1999,6861.782,14.413,9.407712047,111503,23.23427457
160,North America,2000,7107.692,14.746,9.404172572,109735,22.57344943
161,North America,2001,7014.631,14.385,9.423584261,107989,21.95918191
162,North America,2002,7068.126,14.336,9.44299595,106490,21.41910219
163,North America,2003,7183.859,14.416,9.462407639,103119,20.52329872
164,North America,2004,7282.769,14.46,9.481819328,98804,19.45827488
165,North America,2005,7330.253,14.397,9.501231017,97217,18.94068022
166,North America,2006,7265.229,14.111,9.453619084,94332,18.17650658
167,North America,2007,7376.089,14.165,9.406007151,89246,17.0044641
168,North America,2008,7158.262,13.592,9.358395218,84461,15.91285283
169,North America,2009,6670.754,12.526,9.310783285,79481,14.81042149
170,North America,2010,6875.767,12.773,9.263171352,75944,14.00151695
171,North America,2011,6771.608,12.45,9.630811687,75448,13.76844355
172,North America,2012,6580.283,11.978,8.914901948,73033,13.1967598
173,North America,2013,6714.924,12.106,8.641442734,70771,12.66680793
174,North America,2014,6753.943,12.063,8.142225648,68018,12.06261483
175,North America,2015,6612.704,11.704,7.973349587,66704,11.72485083
176,North America,2016,6471.36,11.353,7.32104817,64353,11.21494915
177,North America,2017,6412.982,11.155,7.311074589,62260,10.76077313
